,parameter,mean_estimate,sd_estimate,precision,se_mean,cv,relative_bias,coverage,hdi_lower,hdi_upper
1,alphaBday,4.32047515,0.805685483,1.540525613,0.080568548,0.186480758,8.011878759,0.99,2.275745301,6.606663238
2,muBday,34.20958465,0.70032721,2.038909736,0.070032721,0.020471667,0.616425448,0.95,32.81933749,35.6403511
3,nborn,499.0107121,14.46538219,0.004779035,1.446538219,0.02898812,-0.197857588,0.96,470.6729354,527.8923679
4,sdBday,11.86991257,0.939723316,1.132400349,0.093972332,0.079168512,-1.084061952,0.95,9.955735585,13.78808717
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,A tibble: 4 x 11,,,,,,,,,
,  parameter mean_estimate sd_estimate precision se_mean     cv relative_bias standardized_bias coverage hdi_lower hdi_upper,,,,,,,,,
,  <chr>             <dbl>       <dbl>     <dbl>   <dbl>  <dbl>         <dbl>             <dbl>    <dbl>     <dbl>     <dbl>,,,,,,,,,
,1 alphaBday          4.32       0.806   0.872    0.0806 0.186          8.01             0.179      0.99      2.28      6.61,,,,,,,,,
,2 muBday            34.2        0.700   2.05     0.0700 0.0205         0.616            0.217      0.95     32.8      35.6 ,,,,,,,,,
,3 nborn            499.        14.5     0.00465  1.45   0.0290        -0.198           -0.0828     0.96    471.      528.  ,,,,,,,,,
,4 sdBday            11.9        0.940   1.06     0.0940 0.0792        -1.08            -0.127      0.95      9.96     13.8 ,,,,,,,,,
